VFGID,VFID,VFCID
VFG001221,VF0082,VFC0001
VFG001222,VF0082,VFC0001
VFG001223,VF0082,VFC0001
VFG001224,VF0082,VFC0001
VFG001225,VF0082,VFC0001
VFG001226,VF0082,VFC0001
VFG001227,VF0082,VFC0001
VFG001228,VF0082,VFC0001
VFG001229,VF0082,VFC0001
VFG001230,VF0082,VFC0001
VFG001231,VF0082,VFC0001
VFG001232,VF0082,VFC0001
VFG001233,VF0082,VFC0001
VFG001234,VF0082,VFC0001
VFG001235,VF0082,VFC0001
VFG001236,VF0273,VFC0204
VFG001237,VF0273,VFC0204
VFG001238,VF0273,VFC0204
VFG001239,VF0273,VFC0204
VFG001240,VF0273,VFC0204
VFG001241,VF0273,VFC0204
VFG001242,VF0273,VFC0204
VFG001243,VF0273,VFC0204
VFG001244,VF0273,VFC0204
VFG001245,VF0273,VFC0204
VFG001246,VF0273,VFC0204
VFG001247,VF0273,VFC0204
VFG001248,VF0273,VFC0204
